idProd,nombre,marca,precio,cantidad,barCode,linkImg,grupo,linkPag,activo,idAuto
301192,Manzana Fuji aprox. x 200 g,Frutas,79.0,0,,https://geant.vteximg.com.br/arquivos/ids/227303-250-250/301192.jpg?v=636822291178930000,frescos,https://www.disco.com.uy/pollo-sin-menudos-y-sin-piel-301192/p,1,14066
270834,Apio Gusto,Hortalizas,24.0,0,,https://geant.vteximg.com.br/arquivos/ids/206637-250-250/270834-2.jpg?v=636409118320630000,frescos,https://www.disco.com.uy/queso-ricotta-fraccion-calcar-el-kg-270834/p,1,14067
270823,Kiwi Importado aprox. x 100 g,Frutas,229.0,0,,https://geant.vteximg.com.br/arquivos/ids/196096-250-250/270823.jpg?v=636343226752070000,frescos,https://www.disco.com.uy/queso-maasdam-calcar-el-kg-270823/p,1,14068
270649,Zapallo Kabutia aprox. 1.5 kg,Hortalizas,44.0,0,,https://geant.vteximg.com.br/arquivos/ids/204301-250-250/270649.jpg?v=636389259970130000,frescos,https://www.disco.com.uy/queso-gruyere-corazon-maia-el-kg-270649/p,1,14069
270573,Zuchini aprox. 400 g,Hortalizas,179.0,0,,https://geant.vteximg.com.br/arquivos/ids/212280-250-250/270573.jpg?v=636483300774200000,frescos,https://www.disco.com.uy/queso-magro-fraccion-colonial-kg-270573/p,1,14070
270525,Zapallito aprox. 250 g,Hortalizas,129.0,0,,https://geant.vteximg.com.br/arquivos/ids/201112-250-250/270525-1.jpg?v=636368546340030000,frescos,https://www.disco.com.uy/queso-colonia-premium-granja-natural-ia-el-kg-270525/p,1,14071
270472,Pepino aprox. x 250 g,Hortalizas,69.0,0,,https://geant.vteximg.com.br/arquivos/ids/257563-250-250/270472.jpg?v=637347305722700000,frescos,https://www.disco.com.uy/queso-muzzarella-light-farming-270472/p,1,14072
270340,Berenjena apro x 500 g,Hortalizas,179.0,0,,https://geant.vteximg.com.br/arquivos/ids/266478-250-250/270340.jpg?v=637460704267800000,frescos,https://www.disco.com.uy/queso-rallado-conaprole-80-g-270340/p,1,14073
270345,Boniato ARAPEY x 300 g,Hortalizas,59.0,0,,https://geant.vteximg.com.br/arquivos/ids/266480-250-250/270345.jpg?v=637460705558270000,frescos,https://www.disco.com.uy/queso-rallado-conaprole-160-g-270345/p,1,14074
270922,Perejil,Hortalizas,20.0,0,,https://geant.vteximg.com.br/arquivos/ids/282033-250-250/270922.jpg?v=637656077339000000,frescos,https://www.disco.com.uy/queso-muzzarella-calcar-el-kg-270922/p,1,14075
270305,Queso parrillero CONAPROLE fracción x 300 g,CONAPROLE,648.0,0,,https://geant.vteximg.com.br/arquivos/ids/294881-250-250/270305.jpg?v=637800926569000000,frescos,https://www.disco.com.uy/queso-parrillero-conaprole-fraccion-el-kg-270305/p,1,14076
